"","QMIC2834","QMIC2576","QMIC2629","QMIC2630","QMIC2631","QMIC2632","QMIC2633","QMIC2679","QMIC2685","QMIC2686","QMIC2687","QMIC2688","QMIC2714","QMIC2715","QMIC2716","QMIC2717","QMIC2718","QMIC2773","QMIC2774","QMIC2776","QMIC2837","QMIC3248","QMIC3311","QMIC3312","QMIC3313","QMIC3314","QMIC3315","QMIC3316","QMIC3317","QMIC3318","QMIC3319","QMIC3320","QMIC3321","QMIC3322","QMIC3343","QMIC3345","QMIC3346","QMIC3347","QMIC3348","QMIC3349","QMIC3352","QMIC3397","QMIC3398","QMIC3399","QMIC3401","QMIC3402","QMIC3403","QMIC3404","QMIC3405","QMIC3406","QMIC3407","QMIC3408","QMIC3409","QMIC3410","QMIC3411","QMIC3412","QMIC3413","QMIC3426","QMIC3427","QMIC3429","QMIC3430","QMIC3431","QMIC3432","QMIC3433","QMIC3434","QMIC3435","QMIC3436","QMIC3437","QMIC3444","QMIC3445","QMIC3447","QMIC3448","QMIC2943","QMIC2944","QMIC2945","QMIC2946","QMIC2947","QMIC2979","QMIC2985","QMIC2986","QMIC2987","QMIC2988","QMIC3044","QMIC3045","QMIC3264","QMIC3265","QMIC3266","QMIC3301","QMIC3303","QMIC3305","QMIC3307","QMIC3309","QMIC3370","QMIC3371","QMIC3372","QMIC3373","QMIC3374","QMIC3614","QMIC3615","QMIC3616","QMIC3617","QMIC3618","QMIC3742","QMIC3743","QMIC3744","QMIC3745","QMIC3746"
"f9b2ebb171fd7d9f9807c79ab74764e4",0,18,0,0,0,19,23,11,0,0,0,5,0,0,0,13,64,0,0,23,27,0,0,0,0,0,16,33,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,21,175,0,0,3,0,0,0,0,0,0,15,25,0,0,0,0,0,18,16,50,13,109,0,0,0,18,0,0,0,40,104,0,0,6,21,119,0,0,0,21,160,0,0,5,11,93,0,0,7,13,50
"d86e36b254e908a903abb124958d8d47",22,9,87,106,32,14,0,0,0,5,22,0,0,45,26,18,12,0,12,21,28,24,0,70,140,101,24,0,0,7,37,89,0,0,0,0,0,0,0,0,0,13,17,16,13,11,0,162,159,103,0,0,0,48,51,13,7,0,46,49,66,144,0,42,25,69,9,0,0,0,0,0,94,195,125,15,26,32,29,22,54,64,32,60,69,29,17,8,12,29,27,0,15,68,50,42,9,60,24,44,51,0,51,43,47,24,10
"ae40127bfd18cc161e572e7e27b2f249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f4bb51cf5a19c4af3e2545a62c133685",0,0,0,0,0,0,50,29,0,0,0,0,0,0,0,0,110,0,0,39,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,54,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,42,0,0,0,0,37,0,0,0,0,0
"6623275d24369475be620cff47381985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,19,85,55,17,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1b04160eec295c7b706a0375d988f368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,36,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,0,102,0,0,0,66,0,0,0,93,104,0,0,0,84,0,0,0,43,100,85,0,0,45,81,0,0,0,0,83,67
"20675253e05db00cfa0a87103d807dbb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,75,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
"c632c75098db6fdb9f2dea5662a02111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,60,42,57,0,35,48,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dc5093e531b2a5ef312dc5d3b12b9cd6",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,34,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,48,40,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
"34956a14705628a37712a53e4a09518d",0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,21,0,0,0,0,27,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,35,0,0,0,26,0,0,0,29,0,0,0,0,0,21,0,0,0,20,0,0,0,0,48,0,0,0,0,0,28
